Name,Age,Height_cm,Weight_kg,Preferred_foot,Best_Position,Acceleration,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Defensive_Awareness,Dribbling,Finishing,Free_Kick_Accuracy,Heading_Accuracy,Interceptions,Jumping,Long_Passing,Long_Shots,Penalties,Positioning,Reactions,Short_Passing,Shot_Power,Sliding_Tackle,Sprint_Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,GK_Speed,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Body_Type,Dribbling_Reflexes,Defending_Pace,Physical_Positioning,Pace_Diving,Passing_Kicking,Shooting_Handling
K. Ezekwem,20,188,79,Left,CB,55,60,34,58,59,44,61,49,63,60,22,55,58,58,72,52,26,36,29,57,59,37,62,55,55,65,76,32,21,7,7,11,13,12,,3,Medium,Medium,Normal (185+),56,62,67,55,52,27
N. Weißhaupt,19,180,72,Right,LM,67,45,71,60,67,49,62,60,27,67,58,59,39,30,47,57,54,53,60,55,66,60,35,66,50,35,41,59,52,10,15,9,8,5,,3,Medium,Medium,Normal (170-185),66,32,44,66,62,57
Leândro,32,175,74,Left,RM,64,32,68,70,62,61,58,67,26,67,65,49,36,24,48,55,52,68,62,63,61,63,31,67,51,31,59,58,55,7,12,10,5,12,,3,High,High,Normal (170-185),65,29,51,66,59,62
A. Iacob,32,188,82,Right,CB,50,54,55,60,48,47,19,22,62,47,36,27,64,52,86,41,32,48,47,61,53,34,60,51,67,67,85,48,20,9,5,10,7,6,,2,Medium,Medium,Normal (185+),49,62,74,51,41,35
Miki Villar,24,180,75,Right,ST,75,72,77,60,61,56,55,49,24,63,64,44,62,28,65,47,60,70,63,58,56,62,25,80,59,30,56,54,56,8,11,15,11,8,,3,Medium,Medium,Lean (170-185),63,31,60,78,53,63
I. Batha,29,176,71,Right,CM,70,48,70,72,62,58,56,58,63,63,63,57,55,56,47,60,62,38,65,61,66,54,59,66,72,59,66,63,56,5,14,5,8,6,,3,High,Medium,Normal (170-185),64,59,63,68,62,60
Ramón Juan,21,179,79,Right,GK,24,25,33,44,11,39,12,12,6,9,6,14,10,8,57,23,8,17,5,56,27,45,10,27,16,10,42,28,8,60,61,60,63,66,25,3,Medium,Medium,Normal (170-185),,,,,,
N. Tasky,30,194,87,Right,CB,52,60,39,38,50,55,34,28,59,43,25,25,68,59,68,48,30,38,27,53,54,35,63,53,60,65,81,33,28,13,13,11,14,13,,3,Medium,Medium,Stocky (185+),46,62,71,53,42,29
T. Fölster,27,187,75,Right,CB,58,64,59,56,58,47,36,20,60,47,28,30,67,63,71,43,30,34,27,54,54,40,60,56,58,63,77,33,35,10,11,10,8,6,,2,Medium,Medium,Stocky (185+),52,62,69,57,42,31
D. Cicek,28,172,68,Left,CAM,67,64,87,85,63,58,68,55,44,61,57,63,47,39,74,62,58,67,63,53,63,58,51,68,73,55,38,64,53,8,6,11,15,8,,2,Medium,Medium,Lean (170-185),65,47,54,68,64,58
M. Deijl,23,181,71,Right,RB,66,56,62,67,61,58,50,39,63,63,41,35,53,59,63,54,38,46,43,61,58,40,68,56,62,70,58,48,31,9,10,13,5,6,,3,Medium,Medium,Lean (170-185),62,64,59,61,52,40
M. Vukčevic,28,183,78,Right,RB,74,48,66,59,53,58,58,62,61,54,57,67,48,62,57,44,64,50,57,58,53,63,61,71,70,64,67,52,58,6,8,15,11,7,,3,High,Medium,Normal (170-185),56,61,63,72,54,59
A. Parras,23,182,70,Left,LB,78,57,63,65,58,49,55,45,60,53,24,33,41,60,61,46,25,39,53,49,56,22,63,77,74,60,56,46,24,6,14,11,15,10,,3,Medium,Medium,Lean (170-185),56,58,61,77,51,26
A. Garcia MacNulty,18,187,78,Left,CB,63,61,66,62,49,54,31,32,60,38,34,33,68,59,82,42,28,35,29,56,50,48,65,65,63,69,71,39,27,9,6,11,14,14,,3,Medium,Medium,Normal (185+),47,64,68,64,41,35
N. Tekijaški,24,186,78,Right,CB,68,71,65,75,48,48,52,52,58,44,29,31,63,62,71,51,31,37,33,62,47,37,64,68,68,63,75,48,26,12,13,12,6,6,,3,Medium,High,Normal (185+),50,61,72,68,48,31
K. Schumacher,23,182,77,Left,LW,85,60,66,63,60,54,59,63,19,70,56,52,52,25,61,55,56,52,55,60,55,66,30,85,68,31,68,59,60,12,9,7,11,14,,3,High,Medium,Lean (170-185),65,28,66,85,57,58
Imanol,20,177,63,Left,LB,66,62,62,77,51,54,62,39,60,63,37,54,54,56,55,48,39,43,53,58,55,41,62,68,70,64,43,47,38,10,8,6,6,14,,2,High,Medium,Normal (170-185),59,60,54,67,53,39
B. Makouana,18,181,73,Right,RM,84,45,72,74,67,57,57,57,25,65,62,43,42,29,67,49,52,60,59,57,56,67,26,84,53,33,47,53,61,10,9,6,12,8,,3,Medium,Medium,Lean (170-185),66,30,49,84,54,61
P. Pomer,23,180,70,Right,CAM,69,41,58,68,65,61,52,56,42,60,54,53,46,27,51,64,58,55,55,55,68,62,47,74,62,42,34,68,44,6,9,6,9,9,,3,High,Medium,Normal (170-185),62,40,43,72,63,56
F. Kleinhansl,20,180,72,Left,LB,78,49,81,80,64,43,64,56,47,68,35,33,44,56,73,45,35,35,45,67,60,40,55,72,72,57,56,60,45,9,14,13,8,12,,3,High,Medium,Lean (170-185),67,52,59,75,57,37
J. Gómez,19,183,78,Right,CF,84,47,80,75,62,53,38,54,35,70,65,42,56,37,62,44,58,52,57,54,57,62,37,76,74,35,66,60,59,11,5,8,8,6,,4,High,Medium,Normal (170-185),67,38,64,80,51,62
João Miguel,27,190,78,Right,CB,52,67,66,66,51,58,36,30,59,43,33,31,63,63,72,47,34,32,52,64,52,49,62,53,69,67,71,57,43,14,9,10,8,9,,2,Medium,High,Lean (185+),51,63,70,53,47,38
I. Gharbi,17,167,58,Right,LW,75,51,81,88,67,68,55,68,37,71,54,52,35,40,49,57,54,60,57,55,62,60,38,68,41,45,34,64,49,7,9,13,15,8,,3,Medium,Medium,Lean (170-),71,40,40,71,60,55
M. Mansilla,25,188,80,Right,GK,30,21,36,36,19,37,14,14,7,10,9,14,11,9,47,24,8,11,8,45,18,48,13,17,22,10,63,28,7,59,65,64,69,65,25,3,Medium,Medium,Normal (185+),,,,,,
Alberto Toril,24,189,77,Right,ST,60,36,73,58,62,58,33,35,20,61,70,35,62,17,64,44,62,70,62,62,56,63,14,62,59,17,66,59,45,11,13,14,5,6,,3,High,Medium,Lean (185+),62,22,58,61,48,65
Renato Junior,19,190,83,Right,ST,65,64,69,49,62,62,33,39,21,64,65,41,68,22,63,37,51,65,59,60,56,66,18,64,54,26,76,52,53,8,12,7,7,14,,3,Medium,Medium,Lean (185+),63,27,67,64,46,62
J. Bongard,19,196,84,Right,CB,52,58,44,33,55,48,44,35,57,47,30,33,66,63,53,50,33,42,30,55,62,48,66,49,62,68,76,37,35,7,6,10,8,10,,3,Medium,Medium,Lean (185+),49,63,68,50,49,35
A. Camara,20,167,63,Left,CAM,83,49,78,85,68,56,52,63,35,70,62,28,28,28,42,59,39,45,56,49,65,59,50,82,67,56,42,57,45,11,13,12,12,8,,3,High,Low,Normal (170-),69,41,50,82,58,55
C. Rushworth,19,188,86,Left,GK,34,20,42,44,24,42,13,13,7,17,6,22,12,14,55,43,9,10,7,51,46,47,12,37,19,14,58,44,7,63,62,63,62,65,35,2,Medium,Medium,Normal (185+),,,,,,
K. Serber,22,172,70,Right,CM,72,66,58,79,64,48,48,40,45,66,52,43,57,48,59,72,55,40,64,54,70,65,53,67,72,52,52,56,39,13,7,11,7,12,,3,Medium,Medium,Normal (170-185),64,50,60,69,60,55
V. Barco,16,172,68,Left,LB,66,55,62,75,65,43,64,41,53,66,27,41,53,57,63,58,34,47,55,58,59,32,65,62,62,63,43,37,30,12,10,9,6,12,,3,High,Medium,Normal (170-185),64,58,51,64,54,32
M. Ben Ouanes,26,182,75,Left,LB,68,62,56,62,39,48,57,35,67,67,30,33,46,62,63,58,31,44,56,52,63,28,67,67,67,68,58,47,30,14,15,8,13,12,,3,Medium,Medium,Normal (170-185),56,64,61,67,55,32
T. Gemicibaşi,25,180,70,Left,CDM,59,73,58,68,62,56,54,58,53,57,53,62,55,62,58,57,56,63,41,63,63,71,57,64,71,64,71,49,39,8,15,10,7,7,,3,High,Medium,Normal (170-185),59,59,71,62,57,56
F. Russo,20,175,70,Right,RM,74,29,70,64,59,55,61,45,27,67,57,47,44,24,48,59,43,58,58,56,62,65,28,67,62,35,44,53,54,10,8,11,10,12,,3,Medium,Medium,Normal (170-185),64,31,46,70,58,56
B. Leyes,19,173,76,Left,CM,74,76,72,75,66,43,43,39,44,64,47,38,51,58,60,64,53,47,58,62,68,67,57,74,77,62,56,57,38,7,11,9,9,7,,3,High,Medium,Normal (170-185),65,54,65,74,57,52
E. Utkus,21,190,77,Right,CB,57,66,52,50,58,50,44,39,63,56,31,42,66,58,62,68,32,47,37,49,68,46,59,65,60,65,76,52,28,8,12,9,7,9,,3,Medium,Medium,Lean (185+),55,63,69,61,57,35
Rodrigo Guth,20,191,79,Right,CB,62,53,57,55,48,62,33,31,62,35,27,34,63,63,74,37,29,51,26,63,53,49,65,63,60,64,72,37,30,8,7,6,14,7,,3,Medium,Medium,Normal (185+),45,63,65,63,41,33
Neskes,19,177,70,Right,CM,62,70,52,73,65,45,46,57,34,67,60,58,41,66,58,66,59,63,58,52,70,59,40,70,51,63,63,64,46,14,13,9,8,15,,3,Medium,Medium,Normal (170-185),63,50,61,66,62,59
A. Al-Dakhil,19,187,70,Right,CB,62,74,45,54,61,59,24,42,59,50,22,16,67,58,65,55,24,42,14,58,60,41,56,73,65,60,74,57,25,9,14,9,10,8,,3,Low,High,Lean (185+),54,60,71,68,48,27
J. Castillo,19,179,66,Right,RB,69,52,59,71,58,56,57,39,58,49,34,41,47,55,56,35,28,51,57,59,63,31,62,68,69,63,62,40,34,7,8,13,11,10,,3,Medium,High,Lean (170-185),55,58,61,68,51,34
Rafa Santos,24,187,81,Right,CM,69,63,58,52,73,46,53,41,45,65,33,48,71,60,62,63,42,48,59,69,69,72,61,69,54,63,67,55,45,9,6,9,15,6,,2,Medium,Medium,Normal (185+),65,58,63,69,60,45
Herculano,17,182,81,Right,ST,83,44,62,61,63,44,48,51,23,60,62,66,61,26,58,47,64,48,54,58,57,73,22,77,62,31,74,47,46,6,13,6,14,10,,3,Medium,Low,Normal (170-185),60,30,64,80,52,63
L. Vega,22,186,78,Right,CM,63,62,59,56,68,56,59,59,49,60,35,52,54,54,57,70,54,64,60,63,70,60,52,66,62,48,68,63,50,5,8,13,13,9,,3,Medium,Medium,Normal (185+),62,51,65,65,65,47
K. Yanagisawa,25,180,72,Right,RB,68,56,66,65,56,43,58,38,60,54,28,39,57,61,67,53,33,33,48,56,59,38,62,72,66,63,67,57,23,14,9,13,5,5,,3,Medium,Medium,Lean (170-185),56,61,65,70,55,32
N. Moro,24,190,79,Right,CB,64,70,48,44,53,44,38,23,58,49,20,25,61,62,66,63,21,30,24,61,64,61,62,66,67,61,77,45,28,13,12,15,12,14,,2,Medium,Medium,Normal (185+),50,60,73,65,51,30
Agirrezabala,20,187,80,Left,GK,22,22,23,33,25,24,16,7,10,13,7,9,5,12,51,35,10,13,3,53,24,47,12,31,23,13,53,31,15,58,62,63,68,66,26,3,Medium,Medium,Lean (185+),,,,,,
S. Aka,26,183,74,Right,CDM,59,66,58,57,61,59,51,48,59,64,41,44,59,56,62,64,56,47,39,52,66,59,61,61,69,64,80,57,34,7,5,6,13,9,,3,Medium,Medium,Normal (170-185),61,60,74,60,59,47
B. Nokoue,19,180,70,Right,RB,72,63,59,68,58,57,56,46,56,56,39,39,58,57,62,46,46,43,44,59,51,44,60,74,72,60,66,48,42,9,7,14,8,12,,3,Medium,Medium,Normal (170-185),58,58,67,73,50,42
Pablo Galvez,19,185,78,Right,ST,69,40,59,58,66,60,31,40,15,65,69,42,60,14,64,40,60,60,62,60,58,58,13,66,70,14,68,45,53,14,11,15,7,5,,3,High,Medium,Normal (185+),64,19,63,67,46,63
Torrente,19,193,79,Left,CB,53,54,41,49,44,45,32,29,59,39,21,21,66,64,59,51,31,39,27,49,65,54,65,61,59,67,75,49,32,10,12,14,10,6,,3,Medium,Medium,Normal (185+),42,64,66,57,49,31
Llabres,19,172,71,Right,LM,80,31,84,79,62,56,55,53,28,66,60,44,37,27,50,52,52,58,60,50,57,57,32,82,70,34,50,56,52,15,10,11,9,13,,4,High,Medium,Normal (170-185),66,31,51,81,55,57
A. Matko,21,177,75,Right,CF,82,61,77,80,64,52,52,52,27,66,60,52,47,29,62,48,58,51,63,62,58,63,27,83,71,21,64,53,55,14,8,14,9,11,,3,High,Medium,Stocky (170-185),66,28,65,83,54,60
Iker Benito,18,176,71,Right,RM,79,45,68,73,64,67,61,49,34,66,55,52,45,32,49,48,59,46,60,57,59,66,36,71,58,35,49,59,47,10,8,9,10,6,,3,Medium,Medium,Normal (170-185),66,35,50,75,57,57
Luis López,20,190,76,Right,GK,31,23,33,21,15,30,11,13,7,10,7,12,11,12,55,15,8,13,4,60,15,44,10,29,18,13,49,35,7,66,62,58,58,63,30,3,Medium,Medium,Normal (185+),,,,,,
Naim García,19,180,75,Right,RM,62,34,55,69,71,57,61,55,36,69,67,41,45,19,41,58,45,65,55,50,63,70,26,64,60,37,51,54,56,15,10,9,7,7,,3,High,Medium,Lean (170-185),67,33,49,63,59,62
Raul Caballero,20,172,67,Right,ST,74,60,69,81,57,59,41,42,24,61,64,39,65,23,78,41,57,63,61,65,60,66,21,73,54,19,55,51,59,11,9,8,8,6,,3,High,Medium,Normal (170-185),62,26,57,73,50,63
Geovani,20,181,75,Left,RW,74,43,68,67,65,49,64,63,25,67,60,54,43,34,44,61,59,63,59,47,65,69,27,73,51,22,47,53,62,7,10,13,6,8,,2,Medium,Medium,Lean (170-185),65,28,47,73,61,62
Andre Ricardo,20,178,72,Left,CAM,67,47,60,64,64,60,52,51,32,62,42,52,47,34,42,71,47,61,64,58,72,56,27,69,59,30,52,67,40,9,10,7,11,11,,3,High,Medium,Normal (170-185),62,33,52,68,65,48
Liberal,18,181,73,Right,ST,71,34,67,61,63,60,31,47,12,60,68,32,63,19,67,42,67,68,62,62,59,62,14,70,54,23,42,47,53,14,7,13,9,15,,3,Medium,Medium,Normal (170-185),62,22,45,70,47,66
T. Schumacher,23,177,66,Left,LB,67,63,76,75,58,45,57,35,60,54,46,33,53,61,72,52,48,34,49,56,58,55,61,72,70,60,45,52,22,13,12,12,7,6,,2,Medium,Medium,Normal (170-185),58,60,56,70,53,47
O. Dabbagh,22,182,78,Left,LW,68,28,59,63,68,60,59,57,30,67,67,46,68,17,54,53,45,65,61,47,62,68,26,70,59,31,74,59,60,14,13,8,6,9,,3,Medium,Medium,Normal (170-185),65,31,60,69,58,62
Cassinho,28,177,75,Right,CAM,77,44,78,86,65,58,57,62,32,60,58,65,58,42,75,67,60,65,60,59,63,62,30,81,63,33,40,60,58,5,8,7,9,11,,3,High,Medium,Normal (170-185),64,37,48,79,62,60
Dominic Vinícius,26,194,87,Left,ST,54,73,60,34,65,57,37,54,21,61,64,45,64,19,62,36,59,62,60,62,54,65,14,56,40,15,82,54,60,15,5,15,7,12,,3,Medium,Low,Normal (185+),61,22,69,55,47,63
Gabri Martínez,18,185,75,Right,RM,63,31,58,65,67,48,60,51,31,66,67,42,41,20,47,61,41,64,55,59,59,61,33,69,56,30,55,57,50,9,12,12,8,8,,3,Medium,Medium,Lean (185+),64,30,50,66,58,59
L. Damer,21,178,74,Right,CAM,66,45,75,72,65,58,64,53,30,67,58,52,48,22,71,61,58,50,58,57,66,60,47,68,56,44,53,62,52,13,13,9,7,9,,3,Medium,Medium,Lean (170-185),67,36,53,67,63,58
C. Gyeltshen,25,173,73,Right,LM,80,36,82,77,57,67,57,60,40,65,62,46,54,27,71,50,54,61,62,44,52,60,34,86,78,31,55,62,54,10,11,13,7,14,,4,High,Medium,Lean (170-185),64,36,58,83,55,60
E. Vergani,20,186,77,Right,ST,62,37,54,55,61,52,41,61,14,75,73,35,60,16,50,48,65,69,53,55,54,72,17,64,55,18,60,57,58,9,9,14,12,12,,2,High,Medium,Lean (185+),66,21,54,63,51,69
Alisson Safira,26,185,72,Right,ST,58,39,58,60,58,58,32,43,19,54,68,36,69,31,60,34,66,59,55,67,53,76,14,63,58,16,63,51,54,14,14,8,13,5,,2,Medium,Medium,Normal (185+),57,25,57,61,44,67
Tiago Matos,20,178,72,Right,CDM,68,64,68,70,61,58,48,53,62,59,45,53,51,62,66,58,52,44,47,62,62,58,58,66,73,59,66,55,30,12,10,10,11,12,,3,Medium,High,Normal (170-185),61,60,67,67,56,48
S. Ardaya,22,186,78,Right,CM,67,61,60,60,65,55,55,61,60,62,58,55,55,61,63,61,55,65,62,60,65,61,58,65,67,60,60,65,55,12,13,9,8,5,,3,Medium,Medium,Normal (185+),62,60,62,66,62,58
C. Porter,37,186,83,Right,ST,37,46,61,66,63,61,41,46,40,54,66,47,66,36,76,52,60,69,64,64,58,64,31,48,50,31,83,55,57,14,9,7,15,12,,4,High,Medium,Normal (185+),59,38,67,43,52,64
M. Bloomfield,37,173,73,Right,CM,51,64,70,72,64,67,57,59,62,58,53,56,57,65,73,64,56,50,60,64,66,59,62,46,42,62,67,64,42,13,7,7,9,16,,4,Medium,High,Normal (170-185),62,62,60,48,63,54
E. Rentería,36,178,80,Right,ST,63,79,66,50,63,66,42,52,31,61,58,58,61,25,54,42,66,57,66,58,54,59,14,60,56,37,83,60,61,16,14,7,12,15,,2,High,Low,Stocky (170-185),62,33,74,61,51,60
M. Halsti,37,185,84,Right,CB,31,65,32,55,58,65,56,50,62,45,38,52,63,61,67,62,43,47,49,60,63,64,60,32,58,61,73,56,50,9,11,13,12,15,,2,Low,High,Normal (185+),50,61,67,32,59,46
S. Brown,36,188,87,Right,GK,52,27,63,46,23,60,11,12,22,14,15,11,12,24,64,25,15,19,13,59,24,45,17,50,28,12,56,25,14,63,60,60,61,62,51,1,Medium,Medium,Normal (185+),,,,,,
J. Szmatuła,40,188,85,Right,GK,30,38,39,38,17,67,9,11,16,13,14,11,14,22,50,13,9,14,16,60,21,46,12,33,21,15,64,47,12,58,61,61,66,60,31,3,Medium,Medium,Normal (185+),,,,,,
T. Craig,36,185,79,Left,CB,39,67,46,53,52,64,47,59,61,46,23,26,61,60,65,56,31,33,31,60,58,53,59,37,65,60,80,49,17,7,14,8,11,15,,3,Low,High,Normal (185+),50,60,73,38,52,31
A. Scarlatache,34,184,80,Right,CB,54,61,70,53,53,58,63,34,62,47,38,31,58,59,71,52,22,51,56,63,54,40,60,54,76,61,79,52,32,14,9,13,11,16,,3,Medium,Medium,Normal (170-185),53,61,74,54,53,36
J. Ortiz,37,180,74,Right,CM,64,73,67,66,60,72,57,57,68,56,52,64,47,63,71,63,59,55,59,62,65,61,51,65,72,55,70,64,55,9,16,6,9,9,,3,Medium,Medium,Lean (170-185),60,59,71,65,62,56
Yang Sang Min,37,182,78,Left,CB,53,64,60,68,63,59,62,60,62,58,42,63,59,61,67,57,58,51,55,56,61,67,60,48,53,61,72,61,32,14,10,14,16,13,,3,Medium,High,Normal (170-185),60,61,65,50,61,51
M. Done,33,178,65,Left,LB,73,58,72,73,62,65,61,60,55,61,57,56,47,55,78,54,59,59,61,62,59,63,53,70,72,58,67,62,57,10,7,9,8,6,,2,High,High,Normal (170-185),63,55,67,71,59,59
A. Sheehan,34,180,71,Left,CB,46,67,62,70,62,63,66,60,61,44,43,68,60,61,81,64,52,59,36,57,65,64,61,51,47,62,66,56,33,14,7,7,16,13,,3,Medium,Medium,Normal (170-185),54,61,62,49,63,49
E. Hernandez,38,185,83,Right,GK,57,29,65,56,23,44,15,17,19,18,17,12,14,14,70,27,16,24,11,64,27,45,12,57,28,13,69,37,11,67,54,60,62,62,57,3,Medium,Medium,Normal (185+),,,,,,
G. Coulibaly,35,183,79,Right,CDM,34,67,34,51,58,66,50,58,63,52,45,53,63,65,64,56,54,59,50,62,61,60,56,38,58,60,74,62,52,12,12,7,6,11,,3,Medium,High,Normal (170-185),53,62,68,36,58,51
J. Grounds,33,185,87,Left,CB,54,65,63,53,54,54,57,46,59,56,32,55,60,60,75,55,49,29,46,60,58,55,61,55,72,62,74,46,42,12,11,6,9,15,,3,Low,High,Normal (185+),56,60,72,55,54,41
J. Brown,32,175,68,Left,LB,67,68,78,81,59,55,60,53,55,62,56,46,55,59,84,54,51,44,58,57,57,60,59,68,68,60,64,56,47,8,9,6,11,10,,3,Medium,Medium,Lean (170-185),63,58,67,68,56,55
R. McArdle,34,185,73,Right,CB,33,68,54,53,47,58,37,19,62,27,22,20,64,61,73,40,18,28,25,57,52,50,61,34,66,62,76,46,13,7,10,9,10,9,,3,Low,Medium,Normal (185+),40,62,72,34,43,27
T. Robinson,32,181,67,Right,ST,74,53,72,82,58,58,41,43,34,60,66,35,52,45,64,40,57,59,66,56,54,64,30,70,70,36,69,58,56,11,14,13,7,6,,2,High,High,Stocky (170-185),61,38,66,72,49,63
L. Prosser,33,191,79,Left,CB,51,63,41,42,46,57,30,19,62,34,27,29,60,60,72,48,17,37,23,58,55,42,61,36,62,62,85,37,16,10,12,13,13,8,,2,Low,High,Lean (185+),41,61,74,43,42,28
C. Skuse,35,185,72,Right,CDM,36,64,61,68,60,62,56,64,63,53,49,60,61,62,68,61,52,53,54,61,62,60,62,35,53,64,68,54,45,13,12,9,9,10,,4,Low,High,Lean (185+),58,63,63,35,59,52
E. Upson,31,180,73,Right,CM,55,72,65,68,63,67,57,66,60,60,57,61,50,59,85,61,62,57,55,59,62,62,60,39,81,62,66,63,38,7,14,12,9,10,,3,Medium,Medium,Lean (170-185),62,59,72,46,61,58
N. Maynard,34,180,70,Right,ST,67,61,72,66,62,60,55,64,21,60,64,58,60,34,71,52,61,63,64,59,58,64,31,64,65,23,65,58,61,12,16,10,11,9,,3,High,Medium,Lean (170-185),62,29,65,65,57,63
C. Taborda,37,189,87,Right,GK,49,44,47,48,20,54,15,24,23,14,11,19,20,22,49,21,17,16,12,64,21,45,20,46,40,14,51,50,15,62,61,60,60,58,48,3,Medium,Medium,Normal (185+),,,,,,
L. Kerry,32,168,74,Right,CM,67,67,84,89,62,56,52,44,54,59,52,48,52,57,70,62,55,46,58,62,63,56,54,67,76,59,53,61,45,13,15,14,15,16,,3,Medium,High,Normal (170-),64,56,62,67,59,53
Zhao Xuri,35,185,84,Right,CM,34,72,56,64,62,63,54,50,60,57,54,61,64,63,67,69,63,58,60,54,64,79,59,40,64,62,75,61,54,12,14,15,16,11,,3,Medium,Medium,Stocky (185+),59,62,71,37,61,61
A. Williams,34,188,78,Right,ST,52,54,64,74,62,63,54,44,31,56,62,36,61,21,64,47,61,65,65,63,56,65,12,60,73,21,71,59,62,11,11,6,14,6,,3,High,Medium,Normal (185+),60,27,68,56,53,63
B. Nehrig,34,180,81,Right,CDM,52,68,65,67,61,70,55,60,61,52,40,52,51,64,65,61,50,59,48,61,62,66,60,50,34,63,70,57,57,16,13,9,10,11,,4,Medium,Medium,Normal (170-185),58,61,60,51,59,49
M. Jones,33,183,78,Right,CM,67,60,68,61,62,56,63,61,60,62,58,64,52,59,90,61,63,51,58,60,63,62,58,69,81,60,74,62,52,7,14,8,12,8,,3,Medium,High,Stocky (170-185),62,59,74,68,62,59
T. Midzierski,36,190,84,Right,CB,31,72,32,53,35,54,30,39,63,23,38,24,63,62,72,44,29,44,47,61,39,61,61,31,68,62,84,43,24,8,12,13,14,7,,3,Medium,Medium,Lean (185+),32,62,77,31,38,41
M. Viniegra,33,180,79,Right,CM,47,57,57,62,65,65,53,61,65,60,50,57,64,55,65,65,50,63,60,64,67,66,60,35,50,60,78,66,52,14,7,11,8,14,,3,Medium,Medium,Normal (170-185),62,61,66,40,63,54
M. Almebäck,33,184,83,Right,CB,67,75,54,66,42,51,46,27,60,34,21,23,62,56,72,48,33,28,18,54,45,48,62,72,72,62,79,38,31,11,7,7,16,11,,2,Low,High,Normal (170-185),42,60,76,70,42,30
D. Bouzanis,30,185,84,Right,GK,58,45,58,46,19,49,13,13,15,20,14,14,13,25,65,56,18,14,15,59,47,48,13,61,39,14,70,47,11,62,60,64,61,62,59,3,Medium,Medium,Normal (185+),,,,,,
R. O'Donnell,32,188,85,Left,GK,54,29,56,51,33,47,23,11,10,14,19,11,11,16,65,34,11,14,12,57,26,46,19,50,32,19,73,48,12,62,63,61,61,62,52,3,Medium,Medium,Normal (185+),,,,,,
Zhang Chong,33,190,81,Right,GK,55,13,58,35,22,56,8,18,26,16,10,21,20,12,51,9,19,16,16,58,7,48,24,54,28,20,26,44,16,62,61,64,61,60,55,1,Medium,Medium,Normal (185+),,,,,,
C. Daniel,33,180,73,Left,LB,63,49,74,64,61,57,61,53,58,64,54,54,53,54,80,52,54,52,54,52,62,66,56,72,75,58,80,49,55,15,6,11,15,11,,2,High,Medium,Normal (170-185),63,57,73,68,57,56
M. Simon,35,188,78,Right,ST,62,93,63,32,61,64,48,38,29,52,64,29,61,53,88,37,58,66,63,60,48,66,39,70,78,49,88,49,36,16,15,11,16,16,,3,High,High,Normal (185+),56,44,87,66,45,62
M. Baudry,33,188,80,Right,CB,47,62,62,45,53,67,33,31,62,54,28,36,62,59,71,55,29,40,28,58,57,43,61,43,52,62,80,44,27,12,8,6,12,6,,3,Medium,High,Normal (185+),55,61,69,45,47,32
T. Elliott,30,193,76,Right,ST,65,68,53,49,61,57,41,40,26,58,60,48,64,39,68,43,53,57,62,60,55,62,22,64,61,31,84,55,58,16,16,14,6,16,,3,High,Medium,Normal (185+),58,34,74,64,49,59
M. Štěch,31,195,89,Right,GK,38,25,46,55,21,55,10,14,17,12,11,11,17,19,64,29,16,12,8,56,25,44,13,35,31,13,65,44,12,64,60,58,63,61,37,2,Medium,Medium,Normal (185+),,,,,,
E. Parish,31,188,83,Right,GK,40,26,39,37,16,43,12,12,25,14,15,13,12,14,57,33,16,13,8,54,25,46,13,40,22,12,52,26,15,63,62,61,60,64,40,2,Medium,Medium,Normal (185+),,,,,,
B. Prokopič,33,181,75,Right,CM,52,57,70,61,64,67,61,65,58,63,52,60,58,59,61,62,64,67,61,58,65,64,56,54,53,55,60,65,60,11,6,7,14,16,,3,Medium,Medium,Lean (170-185),64,57,58,53,64,58
N. Featherstone,32,170,71,Right,CDM,55,60,61,72,63,64,62,63,60,61,58,60,56,56,51,63,59,58,59,61,63,62,55,57,77,58,68,62,44,8,12,10,11,11,,3,Medium,Medium,Stocky (170-),62,58,68,56,62,58
P. Amond,33,178,79,Right,ST,56,42,59,71,60,58,45,60,43,56,64,38,62,29,77,37,56,65,64,59,52,64,18,66,67,22,72,55,58,11,12,9,16,14,,4,High,High,Normal (170-185),59,33,65,62,49,62
E. Israelsson,32,181,73,Right,CM,54,80,62,71,61,60,53,53,58,58,56,45,66,62,89,61,61,47,59,64,62,68,51,51,83,54,75,62,54,14,15,15,6,14,,4,High,High,Normal (170-185),60,58,79,52,59,59
M. Ellis,32,188,78,Right,CB,51,64,56,49,49,56,29,33,62,39,27,26,61,62,77,50,23,40,45,59,53,41,59,54,52,62,73,40,25,10,11,6,11,6,,2,Low,Medium,Normal (185+),46,62,66,53,43,30
N. Delfouneso,30,186,78,Right,ST,65,27,76,69,64,63,56,56,28,65,59,36,61,19,73,51,59,59,64,60,62,62,19,71,62,28,66,63,59,9,11,10,9,6,,2,Medium,Medium,Normal (185+),66,29,58,68,58,60
M. Gliwa,33,188,76,Right,GK,31,23,31,31,15,16,13,14,24,13,14,12,13,14,48,42,15,19,15,52,23,46,12,28,24,11,62,57,12,63,58,61,65,62,30,2,Medium,Medium,Normal (185+),,,,,,
